mul_id,name,variant,class_name,technology,role,tonnage,bf_size,bf_move,bf_tmm,bf_armor,bf_structure,bf_threshold,bf_damage_short,bf_damage_short_min,bf_damage_medium,bf_damage_medium_min,bf_damage_long,bf_damage_long_min,bf_damage_extreme,bf_overheat,bf_point_value,bf_abilities,date_introduced,era_id,rules_level,battle_value,ab_ecm,ab_aecm,ab_stl,ab_lrm,ab_srm,ab_if,ab_narc,ab_case,ab_c3i,ab_c3s,ab_c3m,ab_tag,ab_rcn,ab_prb
7407,Trooper TP-1R,TP-1R,Trooper,Primitive,Scout,20.0,1,12in,0,1,2,0,1,False,0,False,0,False,0,0,8,,2475,9,Advanced,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3519,Wasp WSP-1,WSP-1,Wasp,Primitive,Scout,20.0,1,10inj,0,1,2,0,1,False,1,False,0,False,0,0,11,ENE,2464,9,Experimental,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,"Flea ""Fire Ant""","""Fire Ant""",Flea,Inner Sphere,Scout,20.0,1,16in,0,1,2,0,2,False,0,False,0,False,0,0,15,HT1/-/-,3063,247,Standard,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3523,Wasp WSP-1L,WSP-1L,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,14,,2799,11,Introductory,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3065,Stinger STG-5T,STG-5T,Stinger,Inner Sphere,Scout,20.0,1,12inj,0,2,1,0,1,False,1,False,0,True,0,0,14,IF0*,3068,14,Standard,341,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3530,Wasp WSP-3W,WSP-3W,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,1,2,0,2,False,0,False,0,False,0,0,10,ENE,3050,13,Standard,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3061,Stinger STG-3R,STG-3R,Stinger,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,14,,2479,9,Introductory,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3525,Wasp WSP-1W,WSP-1W,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,2,False,0,False,0,False,0,0,12,ENE,3009,255,Introductory,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3522,Wasp WSP-1K,WSP-1K,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,14,,2818,11,Introductory,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,Flea FLE-19,FLE-19,Flea,Inner Sphere,Striker,20.0,1,12in,0,2,2,0,2,False,1,False,0,True,0,0,15,,3068,14,Standard,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3068,Stinger STG-7S,STG-7S,Stinger,Inner Sphere,Scout,20.0,1,12in/16inj,0,2,1,0,1,False,1,False,0,False,0,0,16,"ENE,JMPS1",3077,14,Standard,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3520,Wasp WSP-1A,WSP-1A,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,14,,2471,9,Introductory,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,Fireball ALM-7D,ALM-7D,Fireball,Inner Sphere,Scout,20.0,1,22in,0,2,1,0,1,False,0,True,0,False,0,0,17,,3053,13,Standard,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3528,Wasp WSP-3M,WSP-3M,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,1,2,0,1,False,1,False,0,False,0,0,12,CASE,3051,13,Standard,394,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7396,Hornet HNT-181,HNT-181,Hornet,Inner Sphere,Striker,20.0,1,10inj,0,2,1,0,2,False,1,False,0,True,0,0,14,"CASE,IF0*",3130,254,Experimental,398,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3526,Wasp WSP-3A,WSP-3A,Wasp,Inner Sphere,Scout,20.0,1,10in/16inj,0,2,1,0,1,False,1,False,0,False,0,0,16,"ENE,JMPS1",3082,15,Standard,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3521,Wasp WSP-1D,WSP-1D,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,2,False,1,False,0,False,0,0,15,ENE,2823,11,Introductory,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3193,Thorn THE-N2,THE-N2,Thorn,Inner Sphere,Striker,20.0,1,12in,0,2,1,0,2,False,1,False,0,True,0,0,14,"CASE,IF0*",3071,14,Standard,410,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3524,Wasp WSP-1S,WSP-1S,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,2,False,1,False,0,False,0,0,15,ENE,3049,13,Standard,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,Locust LCT-1M,LCT-1M,Locust,Inner Sphere,Missile Boat,20.0,1,16in,0,1,2,0,1,False,2,False,1,False,0,0,21,IF1,2571,10,Introductory,424,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1136,Flea FLE-15,FLE-15,Flea,Inner Sphere,Scout,20.0,1,12in,0,2,2,0,2,False,1,False,0,False,0,0,14,REAR1/-/-,2523,9,Introductory,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,Flea FLE-4,FLE-4,Flea,Inner Sphere,Scout,20.0,1,12in,0,1,2,0,2,False,1,False,0,False,0,0,12,"ENE,REAR0*/-/-",2501,9,Introductory,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,Locust LCT-1V,LCT-1V,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,1,False,1,False,0,False,0,0,18,,2499,9,Introductory,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063,Stinger STG-5M,STG-5M,Stinger,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,15,AMS,3050,13,Standard,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,Locust LCT-3D,LCT-3D,Locust,Inner Sphere,Missile Boat,20.0,1,16in,0,1,2,0,0,True,1,False,1,False,0,0,16,"CASE,IF1",3049,13,Standard,436,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3532,Wasp WSP-8T,WSP-8T,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,1,0,1,False,1,False,1,False,0,0,14,IF0*,3075,14,Standard,439,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1900,Locust LCT-1S,LCT-1S,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,1,False,1,False,0,False,0,0,18,,2567,9,Introductory,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8124,Stinger STG-6R,STG-6R,Stinger,Inner Sphere,Scout,20.0,1,16inj,0,2,1,0,2,False,1,False,0,False,0,0,18,,3120,254,Standard,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,Cossack C-SK1,C-SK1,Cossack,Inner Sphere,Striker,20.0,1,12inj,0,2,1,0,2,False,2,False,0,False,0,0,17,,3060,13,Standard,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2171,Mercury MCY-97,MCY-97,Mercury,Inner Sphere,Scout,20.0,1,20in,0,2,2,0,1,False,1,False,0,False,0,0,24,"ENE,PRB,RCN",3049,13,Standard,466,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1898,Locust LCT-1L,LCT-1L,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,1,False,1,False,0,False,0,0,19,TSM,3030,256,Standard,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,Hornet HNT-152,HNT-152,Hornet,Inner Sphere,Striker,20.0,1,10inj,0,2,2,0,2,False,2,False,0,False,0,0,17,,2997,255,Introductory,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6949,Wasp WSP-3K,WSP-3K,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,1,0,2,False,2,False,0,False,0,0,17,,3110,254,Standard,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067,Stinger STG-6S,STG-6S,Stinger,Inner Sphere,Scout,20.0,1,18in/14inj,0,2,1,0,1,False,1,False,0,False,0,0,17,,3069,14,Standard,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,Cossack C-1FC,C-1FC,Cossack,Inner Sphere,Scout,20.0,1,12inj,0,2,1,0,2,False,1,False,0,True,0,0,14,ENE,3076,14,Advanced,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,Locust LCT-3S,LCT-3S,Locust,Inner Sphere,Striker,20.0,1,16in,0,1,2,0,2,False,2,False,0,False,0,0,20,CASE,3049,13,Standard,483,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1545,Hornet HNT-151,HNT-151,Hornet,Inner Sphere,Striker,20.0,1,10inj,0,2,2,0,1,False,1,False,0,True,0,0,14,IF0*,2760,10,Introductory,488,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3531,Wasp WSP-7MAF,WSP-7MAF,Wasp,Inner Sphere,Scout,20.0,1,16inj,0,2,1,0,2,False,1,False,0,True,0,0,19,IF0*,3071,14,Standard,488,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3060,Stinger STG-3P,STG-3P,Stinger,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,0,True,1,False,1,False,0,0,14,ENE,3068,14,Standard,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,Locust LCT-3V,LCT-3V,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,2,False,1,False,0,False,0,0,19,,3004,255,Introductory,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064,Stinger STG-5R,STG-5R,Stinger,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,14,ENE,3067,247,Standard,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3058,Stinger STG-3G,STG-3G,Stinger,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,14,ENE,2581,10,Introductory,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3196,Thorn THE-T,THE-T,Thorn,Inner Sphere,Striker,20.0,1,12in,0,2,2,0,2,False,2,False,0,False,0,0,17,,3038,256,Introductory,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7739,Butcherbird (Ion Sparrow) A,A,Butcherbird (Ion Sparrow),Clan,Scout,20.0,1,16in/20inj,0,2,1,0,2,False,0,False,0,False,0,0,21,"CASE,JMPS1,OMNI,PRB,RCN",3147,16,Advanced,501,0,0,0,0,0,0,0,1,0,0,0,0,1,1
8125,Stinger STG-6G,STG-6G,Stinger,Inner Sphere,Scout,20.0,1,14inj,0,2,1,0,2,False,1,False,0,False,0,0,18,,3103,254,Standard,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8126,Stinger STG-6M,STG-6M,Stinger,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,1,False,1,False,0,False,0,0,15,"AMS, ENE",3097,15,Standard,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7343,Hornet HNT-182,HNT-182,Hornet,Inner Sphere,Striker,20.0,1,10inj,0,2,1,0,2,False,2,False,0,True,0,0,17,"CASE,IF0*",3130,254,Experimental,505,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7568,Baboon (Howler) 4,4,Baboon (Howler),Clan,Scout,20.0,1,14inj,0,2,2,0,0,True,0,True,0,True,0,0,17,"CASE,IF0*",2877,11,Standard,506,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7427,Flea FLE-16,FLE-16,Flea,Inner Sphere,Scout,20.0,1,18in,0,2,2,0,2,False,1,False,0,False,0,0,19,ENE,3032,256,Introductory,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8199,Locust LCT-5S,LCT-5S,Locust,Inner Sphere,Striker,20.0,1,16in,0,1,2,0,2,False,2,False,0,True,0,0,21,"CASE,IF0*",3073,14,Standard,509,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3195,Thorn THE-S,THE-S,Thorn,Inner Sphere,Striker,20.0,1,12in,0,2,2,0,2,False,2,False,0,True,0,0,18,IF0*,3035,256,Introductory,510,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3190,Thorn THE-F,THE-F,Thorn,Inner Sphere,Striker,20.0,1,12in,0,2,2,0,2,False,2,False,0,True,0,0,18,IF0*,2490,9,Introductory,510,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2169,Mercury MCY-102,MCY-102,Mercury,Inner Sphere,Scout,20.0,1,20in,0,2,2,0,1,False,1,False,0,False,0,0,24,"C3I,ENE,MHQ2",3067,247,Standard,510,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1137,Flea FLE-17,FLE-17,Flea,Inner Sphere,Striker,20.0,1,16in,0,2,2,0,2,False,2,False,0,False,0,0,23,"ENE,REAR1/-/-",3049,13,Standard,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,Hornet HNT-161,HNT-161,Hornet,Inner Sphere,Striker,20.0,1,10inj,0,2,2,0,1,False,1,False,0,True,0,0,14,"CASE,IF0*",3052,13,Standard,511,0,0,0,0,0,1,0,1,0,0,0,0,0,0
8102,Porcupine PRC-3N,PRC-3N,Porcupine,Inner Sphere,Striker,20.0,1,28in,0,2,1,0,0,False,0,False,0,False,0,0,17,"AMS,ENE,IRA,MEL,STL",3132,16,Experimental,511,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7495,Wasp WSP-5A,WSP-5A,Wasp,Inner Sphere,Scout,20.0,1,16inj,0,2,1,0,1,False,1,False,0,False,0,0,17,CASEII,3114,254,Standard,517,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1909,Locust LCT-5T,LCT-5T,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,1,0,2,False,2,False,0,False,0,0,22,CASE,3070,14,Standard,520,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8103,Wasp WSP-3X,WSP-3X,Wasp,Inner Sphere,Missile Boat,20.0,1,12inj,0,1,1,0,1,False,2,False,1,False,0,0,15,IF1,3088,15,Experimental,521,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1905,Locust LCT-3M,LCT-3M,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,2,False,1,False,0,False,0,0,20,"AMS,CASE",3050,13,Standard,522,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1728,Kabuto KBO-7A,KBO-7A,Kabuto,Inner Sphere,Striker,20.0,1,14in,0,2,1,0,2,False,2,False,0,False,0,0,21,,3059,13,Standard,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,Fireball ALM-9D,ALM-9D,Fireball,Inner Sphere,Scout,20.0,1,22in,0,2,1,0,1,False,1,False,0,False,0,0,19,,3054,13,Standard,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3527,Wasp WSP-3L,WSP-3L,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,2,0,0,True,0,True,0,True,0,0,18,"ECM,ENE,STL",3067,247,Standard,534,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1548,Hornet HNT-171,HNT-171,Hornet,Inner Sphere,Striker,20.0,1,10in/6inj,0,2,2,0,1,False,1,False,0,True,0,0,15,"AMS,CASE,IF0*,JMPW1",3051,13,Standard,535,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6950,Wasp WSP-3P,WSP-3P,Wasp,Inner Sphere,Scout,20.0,1,14inj,0,2,2,0,1,False,1,False,0,True,0,0,19,ENE,3086,15,Standard,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8123,Stinger STG-4G,STG-4G,Stinger,Inner Sphere,Scout,20.0,1,14in/12inj,0,2,1,0,2,False,2,False,0,False,0,0,22,"ENE,JMPW1",3074,14,Standard,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3191,Thorn THE-N,THE-N,Thorn,Inner Sphere,Striker,20.0,1,12in,0,2,2,0,2,False,2,False,0,True,0,0,18,"CASE,IF0*",2549,9,Standard,546,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7570,Baboon (Howler) 6,6,Baboon (Howler),Clan,Striker,20.0,1,14in,0,2,2,0,2,False,2,False,0,False,0,0,23,"CASEII,SRM2/2,TUR(2/2/-,SRM2/2)",3086,15,Advanced,550,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7497,Wasp WSP-4W,WSP-4W,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,1,0,2,False,1,False,0,False,0,0,14,ENE,3065,247,Standard,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,Locust LCT-1E,LCT-1E,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,2,False,1,False,0,False,0,0,19,ENE,2811,11,Introductory,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4624,Mercury MCY-98,MCY-98,Mercury,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,2,False,1,False,0,False,0,0,19,ENE,2810,11,Introductory,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4907,Red Shift RDS-2B,RDS-2B,Red Shift,Inner Sphere,Striker,20.0,1,18in,0,2,1,0,2,False,2,False,0,False,0,0,25,"ENE,PRB,RCN,TAG",3063,247,Standard,555,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1902,Locust LCT-1V2,LCT-1V2,Locust,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,1,False,1,False,0,True,0,0,19,ENE,3065,247,Standard,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,Fireball ALM-8D,ALM-8D,Fireball,Inner Sphere,Scout,20.0,1,22in,0,2,1,0,2,False,1,False,0,False,0,0,20,,3054,13,Standard,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8201,Locust LCT-7V,LCT-7V,Locust,Inner Sphere,Scout,20.0,1,20in,0,2,1,0,2,False,2,False,0,False,0,0,25,,3102,254,Standard,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2172,Mercury MCY-99,MCY-99,Mercury,Inner Sphere,Scout,20.0,1,20in,0,2,2,0,2,False,1,False,0,False,0,0,22,ENE,2742,10,Standard,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8127,Stinger C,C,Stinger,Clan,Scout,20.0,1,12inj,0,2,2,0,2,False,2,False,0,False,0,0,18,CASE,2832,11,Standard,592,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3529,Wasp WSP-3S,WSP-3S,Wasp,Inner Sphere,Scout,20.0,1,12inj,0,2,1,0,1,False,1,False,0,False,0,0,15,"ECM,ENE,TAG",3067,247,Standard,595,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2980,Snow Fox 2,2,Snow Fox,Clan,Missile Boat,20.0,1,20in,0,2,2,0,1,False,1,False,1,False,0,0,23,"CASE,IF1",3015,255,Standard,604,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5781,Fireball ALM-XF,ALM-XF,Fireball,Inner Sphere,Scout,20.0,1,48in,0,2,1,0,1,False,1,False,0,False,0,0,25,ENE,3077,14,Experimental,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3062,Stinger STG-5G,STG-5G,Stinger,Inner Sphere,Scout,20.0,1,14in/12inj,0,2,1,0,0,True,1,False,1,False,0,0,17,"ENE,JMPW1",3076,14,Experimental,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7740,Butcherbird (Ion Sparrow) B,B,Butcherbird (Ion Sparrow),Clan,Scout,20.0,1,16in/20inj,0,2,1,0,2,False,2,False,0,False,0,0,24,"CASE,JMPS1,OMNI,SRM1/1",3147,16,Advanced,626,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4906,Red Shift RDS-2A,RDS-2A,Red Shift,Inner Sphere,Striker,20.0,1,18in,0,2,1,0,2,False,2,False,0,False,0,0,24,"ECM,ENE,TAG",3062,247,Standard,626,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8202,Locust LCT-7V2,LCT-7V2,Locust,Inner Sphere,Sniper,20.0,1,20in,0,2,1,0,1,False,2,False,1,False,0,0,25,ENE,3112,254,Standard,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729,Kabuto KBO-7B,KBO-7B,Kabuto,Inner Sphere,Scout,20.0,1,14in,0,2,1,0,1,False,1,False,1,False,0,0,17,ENE,3068,14,Standard,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,Dasher (Fire Moth) A,A,Dasher (Fire Moth),Clan,Scout,20.0,1,26in,0,1,1,0,1,False,1,False,0,False,0,0,20,"AMS,CASE,OMNI,PRB,RCN,TAG",2874,11,Standard,639,0,0,0,0,0,0,0,1,0,0,0,1,1,1
6452,Gùn GN-2OB,GN-2OB,Gùn,Inner Sphere,Sniper,20.0,1,10in,0,2,2,0,1,False,1,False,1,False,0,0,21,"AECM,BH,ENE,OMNI,RCN,TAG",3134,16,Standard,639,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1903,Locust LCT-1Vb,LCT-1Vb,Locust,Inner Sphere,Striker,20.0,1,16in,0,2,1,0,3,False,2,False,0,False,0,0,23,ENE,2610,10,Standard,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Baboon (Howler),,Baboon (Howler),Clan,Missile Boat,20.0,1,14in,0,2,2,0,1,False,1,False,1,False,0,0,20,"CASE,IF1",2871,11,Standard,645,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3192,Thorn THE-N1,THE-N1,Thorn,Inner Sphere,Sniper,20.0,1,12in,0,2,1,0,2,False,1,False,1,False,0,0,14,ENE,3051,13,Standard,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,Locust LCT-5V,LCT-5V,Locust,Inner Sphere,Striker,20.0,1,16in,0,2,2,0,2,False,2,False,0,True,0,0,24,ENE,3068,14,Standard,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7601,Locust C,C,Locust,Mixed,Striker,20.0,1,16in,0,2,2,0,2,False,2,False,0,False,0,0,23,ENE,2832,11,Standard,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3059,Stinger STG-3Gb,STG-3Gb,Stinger,Inner Sphere,Striker,20.0,1,14inj,0,2,1,0,2,False,2,False,0,False,0,0,22,ENE,2720,10,Standard,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3066,Stinger STG-6L,STG-6L,Stinger,Inner Sphere,Scout,20.0,1,16in,0,2,2,0,1,False,1,False,0,False,0,0,22,"ECM,ENE,STL",3067,247,Standard,680,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2170,Mercury MCY-104,MCY-104,Mercury,Inner Sphere,Striker,20.0,1,20in,0,2,1,0,2,False,2,False,0,False,0,0,29,"C3I,ENE,MHQ2,TAG",3069,14,Standard,683,0,0,0,0,0,0,0,0,1,0,0,1,0,0
